,,,
,Work Package Ref,Service Reference,Work Package
,Work Package F - Catering Services,F.9,"68.3.3.    The vending Service shall meet healthy eating, sustainability and provenance guidelines."
,Work Package F - Catering Services,F.9,68.4.The Supplier shall ensure that 
,Work Package F - Catering Services,F.9,"68.4.1.    The vending Service is concession based and provided at nil subsidy in most cases, but ideally as part of the catering concession;"
,Work Package F - Catering Services,F.9,68.4.2.    The pricing policy is benchmarked to high street and the Buyer’s budgets;
,Work Package F - Catering Services,F.9,"68.4.3.    Cash, cashless and credit payment systems are available to the Buyer where appropriate; and"
,Work Package F - Catering Services,F.9,"68.4.4.    Vending machines are replenished with appropriate items, including hot and cold beverages, confectionery and cold snacks. The date label is to be checked and removed as required. Storage conditions shall be appropriate to the product."
,Work Package F - Catering Services,F.9,68.5.The Supplier shall clean and maintain vending machines and ensure that they are operable during operational Working Hours.
,Work Package F - Catering Services,,
,Work Package F - Catering Services,,69.   Service F:10 - Residential catering Services
,Work Package F - Catering Services,,
,Work Package F - Catering Services,F.10,"69.2.The Supplier shall provide a Catering Service for full time residents at various Buyer Premises. This Service shall be determined at Call-Off stage but may include a full board food offering comprising breakfast, luncheon and dinner."
,Work Package F - Catering Services,F.10,"69.3.This Service may be required to be Delivered in a variety of settings including custodial centres, detention centres probation accommodation, bail hostels, youth hostels and residential training facilities.  "
,Work Package F - Catering Services,,
,Work Package G - Cleaning Services,,Work Package G – Cleaning Services
,Work Package G - Cleaning Services,,
,Work Package G - Cleaning Services,,70.   Generic cleaning requirements
,Work Package G - Cleaning Services,,70.1.The Supplier shall ensure that:
,Work Package G - Cleaning Services,,70.1.1.    The required Standard is in evidence daily before the start of the building users’ business activity; 
,Work Package G - Cleaning Services,,"70.1.2.    As far as is reasonably practicable they specify and use cleaning materials and practices that are environmentally preferable, including utilisation of refillable containers throughout the entire product cycle where possible;"
,Work Package G - Cleaning Services,,"70.1.3.    All general cleaning activities shall take place during the Operational Working Hours of the Buyer Premises, which shall be between 06:00 am to 10:00 pm Monday to Saturday, as approved by the Buyer. There will be occasion when cleaning within operational Working Hours is not suitable, therefore flexible alternative arrangements shall be agreed by the Buyer and the cleaning Schedule amended to reflect these; and "
,Work Package G - Cleaning Services,,70.1.4.    All Supplier Staff wear formal corporate attire at all times including building/identification passes.
,Work Package G - Cleaning Services,,70.2.The Supplier shall be required to clean certain areas in the presence of a Buyer Authorised Representative or under approved escort. These areas and the times for the cleaning to take place shall be agreed with the Buyer.
,Work Package G - Cleaning Services,,"70.3.The Supplier shall provide the Buyer with expert and technical advice on the service to explore improvements, maximise efficiency and performance across all cleaning Services.  "
,Work Package G - Cleaning Services,,"70.4.The Supplier shall provide a Cleaning Services throughout the Buyer Premises that is Delivered in a safe and efficient manner as per the required Standards and shall take responsibility for cleaning all internal cleanable areas including fixtures, fittings, furniture and finishes, to minimise degradation and maintain Asset life cycle."
,Work Package G - Cleaning Services,,
,Work Package G - Cleaning Services,,71.   Service G:1 - Routine cleaning
,Work Package G - Cleaning Services,,
,Work Package G - Cleaning Services,G.1,"71.2.In addition, the following Standards Ref apply to this Service SG1."
,Work Package G - Cleaning Services,G.1,"71.3.The Supplier shall undertake all tasks associated with professional office cleaning to ensure that the offices, toilets, shower rooms, kitchens, catering areas, public areas, meeting and conference rooms, custody suites (where applicable), bedrooms, circulation space, secure areas and all other working areas, furniture, walls and floor spaces, are maintained to Achieve the necessary levels of cleanliness as defined within the BICS 2015 Standards (or later editions as published by BICS) to ensure all areas remain presentable and fit for their intended purpose."
